Date,08-Jan,08-Feb,08-Mar,08-Apr,08-May,08-Jun,08-Jul,08-Aug,08-Sep,08-Oct,08-Nov,08-Dec,09-Jan,09-Feb,09-Mar,09-Apr,09-May,09-Jun,09-Jul,09-Aug,09-Sep,09-Oct,09-Nov,09-Dec,10-Jan,10-Feb,10-Mar,10-Apr,10-May,10-Jun,10-Jul,10-Aug,10-Sep,10-Oct,10-Nov,10-Dec,11-Jan,11-Feb,11-Mar,11-Apr,11-May,11-Jun,11-Jul,11-Aug,11-Sep,11-Oct,11-Nov,11-Dec,12-Jan,12-Feb,12-Mar,12-Apr,12-May,12-Jun,12-Jul,12-Aug,12-Sep,12-Oct,12-Nov,12-Dec,13-Jan,13-Feb,13-Mar,13-Apr,13-May,13-Jun,13-Jul,13-Aug,13-Sep,13-Oct,13-Nov,13-Dec,14-Jan,14-Feb,14-Mar,14-Apr,14-May,14-Jun,14-Jul,14-Aug,14-Sep,14-Oct,14-Nov,14-Dec,15-Jan,15-Feb,15-Mar,15-Apr,15-May,15-Jun,15-Jul,15-Aug,15-Sep,15-Oct,15-Nov,15-Dec,16-Jan,16-Feb,16-Mar,16-Apr,16-May,16-Jun,16-Jul,16-Aug,16-Sep,16-Oct,16-Nov,16-Dec,17-Jan,17-Feb,17-Mar,17-Apr,17-May,17-Jun,17-Jul,17-Aug,17-Sep,17-Oct,17-Nov,17-Dec,18-Jan,18-Feb,18-Mar,18-Apr,18-May,18-Jun,18-Jul,18-Aug,18-Sep,18-Oct,18-Nov,18-Dec,19-Jan,19-Feb,19-Mar,19-Apr,19-May,19-Jun,19-Jul,19-Aug,19-Sep,19-Oct,19-Nov,19-Dec
Gross new issues,"23,074","15,511","12,984","16,957","29,856","22,255","17,613","13,042","23,890","15,242","13,946","17,232","21,534","21,014","23,369","14,698","27,750","33,092","24,880","18,807","35,545","17,153","35,160","19,930","22,677","15,828","29,073","23,909","20,993","30,297","25,626","20,703","18,762","24,787","33,936","36,927","53,746","22,057","30,898","23,522","27,357","19,082","23,441","21,975","19,343","23,725","34,237","21,982","27,055","34,394","25,738","16,769","25,611","22,336","18,810","22,315","26,089","33,360","21,765","34,049","28,403","20,666","31,742","25,955","33,939","23,349","39,518","26,739","31,851","37,852","39,463","18,523","34,130","23,056","32,934","32,792","30,942","43,424","30,947","19,797","43,041","38,278","30,719","36,589","34,912","32,033","62,641","33,838","23,387","34,168","34,942","23,493","40,942","36,990","26,973","31,967","40,685","28,673","46,198","37,723","28,431","39,169","50,656","35,907","40,946","41,724","37,922","33,540","45,649","66,161","44,515","29,733","49,948","51,950","41,474","25,960","42,878","53,312","44,065","34,252","36,860","32,033","47,200","50,155","32,400","45,833","52,824","21,616","42,427","34,497","33,502","14,439","49,334","27,351","39,019","38,453","27,729","35,981","47,562","24,318","46,585","38,912","33,708","29,999"
Government of Canada direct and guaranteed bonds 4,"1,958","4,752",947,"2,679","5,634","2,431","2,633","5,721","1,340","10,137","10,028","2,431","10,535","13,021","11,191","3,838","8,031","11,238","10,335","14,827","12,365","5,731","9,829","7,136","9,164","7,861","10,175","6,658","11,230","9,640","7,131","10,233","5,503","7,410","9,195","7,141","6,341","7,114","9,846","7,129","15,634","5,731","7,123","9,535","5,025","9,626","11,777","8,019","6,641","13,026","5,401","6,327","10,832","9,626","6,531","9,726","5,214","5,731","6,966","8,495","6,840","9,820","8,325","9,033","10,529","4,116","9,633","9,318","7,215","8,925","8,333","3,729","9,981","10,957","4,363","6,224","14,255","8,031","6,826","10,012","6,947","12,504","8,292","4,275","8,627","8,313","11,076","9,529","8,403","4,525","9,517","7,571","3,913","12,512","8,489","4,579","9,812","11,521","4,218","10,811","13,364","3,816","15,104","14,027","8,419","14,407","12,853","8,648","11,741","12,003","10,316","7,900","15,223","14,905","11,097","12,098","12,342","14,493","18,244","5,400","10,700","10,300","8,901","10,500","7,000","5,886","12,000","7,000","6,800","11,000","10,707","5,000","13,368","6,400","8,002","11,700","10,100","8,400","10,000","14,000","6,200","12,900","14,674","3,000"
Provincial direct and guaranteed bonds (Terminated) 3 5,"2,133t","2,999t","1,393t","6,007t","7,859t","3,293t","2,204t",873t,"3,492t","2,030t","6,196t","7,306t","6,141t","3,563t","3,514t","13,257t","7,215t","10,686t","1,987t","2,429t","4,744t","5,450t","9,715t","9,731t","4,751t","6,408t","3,321t","8,876t","6,764t","10,256t","6,139t","3,709t","8,650t","8,277t","3,707t","4,373t","8,905t","5,432t","4,704t","4,183t","12,779t","8,242t","4,053t","4,990t","8,568t","5,500t","4,827t","5,900t","7,260t","5,253t","3,165t","6,596t","8,821t","9,090t","3,115t","2,482t","5,955t","7,132t","7,856t","7,577t","4,950t","9,671t","4,612t","6,179t","5,994t","7,525t","8,867t","6,101t","7,757t","6,770t","3,797t","14,091t","9,034t","5,822t","2,166t","3,753t","13,977t","8,279t","1,500t","5,405t","7,450t","7,095t","7,571t","3,174t","11,714t","6,669t","5,928t","1,207t","5,939t","8,260t","5,800t","3,567t","7,363t","10,493t","7,363t","4,054t","7,766t","4,495t","9,358t","7,150t","5,372t","12,156t","8,494t","6,107t","4,270t","6,497t","5,250t","9,684t","8,046t","7,762t","5,446t","5,617t","16,923t","10,685t","6,654t","3,025t","7,513t","7,214t","7,090t","2,397t","2,954t","9,562t","3,296t","14,534t","7,973t","5,511t","4,383t","7,875t","4,406t","10,628t","5,297t","3,496t","12,026t","10,700t","4,822t","11,678t","3,677t","9,107t","1,970t","3,050t","9,687t","8,107t",..t,..t
Municipal direct and guaranteed bonds (Terminated) 3 6,18t,147t,84t,570t,88t,478t,505t,91t,190t,253t,807t,451t,86t,173t,419t,710t,173t,738t,353t,73t,313t,"1,169t",325t,707t,411t,222t,293t,787t,289t,715t,561t,391t,229t,497t,749t,529t,106t,268t,"1,334t",390t,134t,"1,341t",336t,168t,275t,"1,034t",904t,789t,149t,194t,193t,703t,654t,376t,335t,229t,313t,"1,118t",479t,941t,623t,157t,236t,154t,656t,432t,557t,374t,"1,305t",838t,369t,"1,058t",146t,327t,511t,643t,677t,866t,463t,76t,715t,556t,479t,600t,128t,360t,456t,774t,247t,386t,441t,199t,351t,719t,736t,547t,155t,248t,369t,"1,212t",139t,"1,191t",440t,94t,720t,476t,614t,407t,207t,161t,289t,591t,169t,576t,425t,201t,301t,474t,393t,964t,193t,239t,312t,"1,406t",249t,625t,365t,101t,441t,524t,604t,879t,529t,287t,400t,643t,"1,301t",256t,508t,114t,458t,..t,..t,..t
Corporate bonds 7,"12,585","7,963","7,751","11,290","20,830","10,235","12,036","6,755","19,136","3,869","1,498","2,783","6,427","3,860","7,446","7,298","16,460","11,748","7,297","1,630","11,729","5,746","18,521","6,512","9,850","4,895","14,166","12,613","4,690","14,811","14,176","8,279","10,622","12,271","15,873","13,200","16,530","9,473","15,795","12,454","7,415","7,971","13,345","8,145","10,190","11,961","18,231","10,959","18,942","11,696","15,735","8,284","11,762","9,948","7,905","8,974","13,272","23,715","10,799","18,959","18,591","8,455","18,728","14,939","19,658","13,524","26,004","16,010","23,834","25,642","21,084","11,479","18,844","9,078","24,747","23,241","13,434","28,557","18,853","4,057","32,204","20,322","16,833","9,786","23,527","17,769","42,229","18,964","10,696","21,464","22,933","13,360","31,947","22,142","14,884","22,544","27,687","14,627","33,105","22,503","10,491","28,684","27,577","18,081","27,161","16,823","15,258","20,514","30,944","11,102","29,137","15,115","20,258","33,236","23,651","8,701","28,086","33,763","22,843","21,041","21,622","18,180","32,946","36,628","22,161","33,428","35,494","9,838","31,191","21,087","15,045","3,938","26,315","14,478","26,824","23,500","15,504","25,048","35,675","7,947","33,797","24,378","18,197","20,607"
Preferred stocks 8,830,0,595,"1,135",204,"1,866",251,11,"2,250",0,"1,025",684,"3,215",325,"1,845","1,325","1,034","1,050","1,070",1,"2,001",777,500,280,978,300,755,265,280,780,400,200,96,852,250,500,100,894,"1,115",0,371,175,609,531,"1,075",0,"1,389",515,780,"1,150","1,088",299,774,960,806,275,900,575,720,800,175,530,"1,840",160,825,"1,175",615,143,207,562,0,781,"1,416",780,703,825,700,"2,454","1,368","1,737","1,168",915,788,"1,885",600,201,"1,793",762,285,"1,086",452,183,314,"1,000",200,"1,265","1,270",871,"1,744","1,004",146,491,38,474,"1,657",800,"2,548",100,56,707,500,0,"1,125","1,665",354,697,331,613,100,"1,422",960,253,652,51,0,300,0,0,800,300,350,0,800,3,25,350,153,740,0,210,0,0,9,0
Common stocks 8,"3,758","2,581","3,187","1,174","3,156","5,448","2,497",555,721,"1,195","1,394","11,215","1,157","3,033","1,852","1,791","1,762","8,132","5,749","1,741","8,611","3,607","6,202","4,399","1,680","1,973","3,579","3,185","4,361","4,262","2,284","1,754","1,107","2,676","7,787","14,852","30,235","3,978","3,768","2,728","2,432","3,864","1,732","3,093","2,672","1,827","2,226","1,461",568,"7,249","2,482",584,961,"1,017","3,045","2,753","3,660","2,672","2,446","4,945","1,413",946,"1,871","1,652","1,310","4,043","2,437","1,241",593,"2,031","7,820","2,516","3,395","1,641","2,421","1,597","2,221","3,703","3,800","3,167","2,125","4,372","3,109","9,281","1,916","4,189","7,292","4,242","2,408","5,448","1,825","1,815","3,868",908,"3,280","3,525","1,207","1,654","5,608","3,289","2,980","5,296","6,560","2,753","3,417","8,246","7,234","3,163","2,636","41,123","2,140","4,514","8,377","1,680","5,693","1,384","1,519","1,104","2,412","5,754","2,249","2,785","2,537","1,476","2,608","5,229","4,042","1,047","3,190","2,052","6,685","5,361","8,371","4,929","3,495",966,"1,549","1,066",623,"1,000","5,898",772,611,"3,291"
Trust units,"3,643",165,354,679,32,575,196,0,43,41,1,119,200,775,285,446,463,724,308,608,839,992,108,567,455,249,398,538,432,804,5,237,684,453,331,517,240,198,374,461,430,691,89,671,381,311,465,641,124,273,532,525,882,485,123,587,531,267,434,850,184,265,978,171,867,191,629,27,2,487,276,18,494,0,0,105,332,229,50,65,597,165,447,"11,037",242,161,251,66,95,145,170,39,0,428,0,54,549,0,23,116,0,682,377,572,292,248,29,115,272,135,672,454,115,454,639,580,0,209,466,156,214,15,414,0,181,990,288,124,196,58,65,140,480,466,658,937,403,727,374,161,425,862,217,"1,571"
Other institutions and foreign debtors 9,300,50,150,0,0,"1,700",0,0,400,0,0,0,0,0,750,0,0,200,121,0,0,300,0,"1,036",550,550,0,650,0,0,"1,630",0,750,"1,125",500,717,300,400,0,750,"1,075",650,543,0,0,0,149,387,0,"1,000",500,750,400,300,400,0,"2,512",400,400,0,"1,200",650,0,0,750,300,200,0,0,205,"1,950",0,0,600,700,800,0,450,50,759,0,0,"1,250",325,0,"1,400",0,275,"1,500","1,500",45,525,900,0,120,0,160,0,"1,500",0,"1,450",200,"1,000",0,0,"1,200",0,"1,000",0,"1,091","1,750","1,750","4,850",10,40,"2,500",600,"3,130",0,479,"1,115",500,"1,750","1,500",450,0,"1,000","3,607",250,0,650,0,0,"1,075",15,"1,000",20,0,890,"1,000",265,0,0,"1,530"
Retirements,"17,203","8,672","6,356","9,092","7,548","24,810","14,559","6,169","19,283","10,776","15,338","18,223","7,165","5,459","8,215","13,208","6,060","23,821","13,598","4,701","17,207","13,846","7,377","19,332","12,009","9,011","8,425","8,763","8,562","25,795","8,896","9,168","31,506","15,519","15,355","26,897","39,500","14,326","14,267","10,848","12,888","28,189","16,885","8,303","16,905","14,629","15,811","20,734","8,675","9,885","22,504","9,826","9,893","32,190","10,916","11,710","22,110","7,514","17,169","27,856","12,174","15,893","23,176","14,114","11,432","31,535","16,064","14,216","18,790","9,765","21,754","14,572","18,144","21,216","23,741","15,401","20,301","29,162","9,753","14,918","16,956","18,444","31,373","22,816","21,597","20,545","20,822","16,254","29,479","33,478","11,413","16,602","21,816","25,477","29,220","29,781","26,589","21,515","21,103","14,730","21,828","33,219","25,897","30,532","33,310","20,586","28,176","26,104","29,152","33,140","40,984","27,418","26,964","42,310","16,321","21,159","36,629","25,252","34,776","21,790","33,248","20,056","40,765","40,807","29,077","19,062","27,585","32,065","26,815","27,814","23,276","27,676","28,080","26,172","31,591","27,392","22,437","37,678","26,788","21,167","38,340","28,109","38,959","26,472"
