Date,08-Jan,08-Feb,08-Mar,08-Apr,08-May,08-Jun,08-Jul,08-Aug,08-Sep,08-Oct,08-Nov,08-Dec,09-Jan,09-Feb,09-Mar,09-Apr,09-May,09-Jun,09-Jul,09-Aug,09-Sep,09-Oct,09-Nov,09-Dec,10-Jan,10-Feb,10-Mar,10-Apr,10-May,10-Jun,10-Jul,10-Aug,10-Sep,10-Oct,10-Nov,10-Dec,11-Jan,11-Feb,11-Mar,11-Apr,11-May,11-Jun,11-Jul,11-Aug,11-Sep,11-Oct,11-Nov,11-Dec,12-Jan,12-Feb,12-Mar,12-Apr,12-May,12-Jun,12-Jul,12-Aug,12-Sep,12-Oct,12-Nov,12-Dec,13-Jan,13-Feb,13-Mar,13-Apr,13-May,13-Jun,13-Jul,13-Aug,13-Sep,13-Oct,13-Nov,13-Dec,14-Jan,14-Feb,14-Mar,14-Apr,14-May,14-Jun,14-Jul,14-Aug,14-Sep,14-Oct,14-Nov,14-Dec,15-Jan,15-Feb,15-Mar,15-Apr,15-May,15-Jun,15-Jul,15-Aug,15-Sep,15-Oct,15-Nov,15-Dec,16-Jan,16-Feb,16-Mar,16-Apr,16-May,16-Jun,16-Jul,16-Aug,16-Sep,16-Oct,16-Nov,16-Dec,17-Jan,17-Feb,17-Mar,17-Apr,17-May,17-Jun,17-Jul,17-Aug,17-Sep,17-Oct,17-Nov,17-Dec,18-Jan,18-Feb,18-Mar,18-Apr,18-May,18-Jun,18-Jul,18-Aug,18-Sep,18-Oct,18-Nov,18-Dec,19-Jan,19-Feb,19-Mar,19-Apr,19-May,19-Jun,19-Jul,19-Aug,19-Sep,19-Oct,19-Nov,19-Dec
GDP,"1,619,678","1,616,737","1,619,632","1,623,011","1,622,950","1,626,157","1,633,235","1,631,956","1,632,320","1,630,551","1,614,127","1,591,987","1,584,341","1,576,119","1,563,343","1,558,296","1,556,689","1,558,532","1,561,083","1,560,446","1,572,192","1,573,879","1,583,102","1,587,706","1,597,519","1,605,865","1,613,597","1,611,635","1,618,686","1,622,883","1,625,143","1,630,031","1,629,843","1,638,232","1,645,952","1,657,377","1,662,768","1,659,773","1,664,906","1,665,169","1,661,580","1,668,949","1,680,498","1,689,080","1,693,895","1,693,809","1,695,694","1,703,826","1,702,312","1,697,912","1,702,210","1,708,110","1,710,842","1,711,716","1,715,089","1,712,835","1,712,611","1,711,824","1,719,965","1,719,763","1,729,586","1,734,805","1,740,839","1,743,937","1,748,724","1,742,396","1,752,447","1,760,130","1,766,098","1,775,606","1,779,954","1,772,541","1,773,250","1,782,226","1,787,024","1,790,684","1,802,034","1,810,319","1,812,914","1,809,135","1,816,399","1,821,619","1,822,817","1,825,584","1,817,974","1,815,506","1,814,460","1,813,921","1,812,920","1,817,855","1,822,436","1,826,294","1,818,765","1,820,488","1,824,776","1,826,829","1,837,683","1,833,683","1,828,329","1,829,438","1,818,530","1,827,800","1,838,928","1,842,277","1,848,637","1,847,196","1,851,828","1,860,575","1,869,432","1,874,506","1,882,877","1,890,314","1,896,779","1,901,097","1,902,751","1,901,372","1,905,358","1,907,384","1,917,258","1,922,552","1,920,911","1,926,421","1,931,188","1,930,135","1,938,797","1,939,974","1,945,241","1,947,286","1,948,264","1,951,927","1,947,407","1,947,565","1,951,446","1,946,956","1,959,076","1,963,861","1,969,917","1,975,319","1,975,708","1,978,993","1,979,304","1,977,120","1,978,810","1,983,827"
Goods-producing industries  [T002]4,"505,668","505,702","505,593","506,962","505,964","507,135","512,569","508,567","506,034","505,597","497,670","482,123","474,821","466,233","455,445","447,749","445,639","445,030","445,140","445,037","452,789","453,865","460,238","459,881","466,650","473,166","477,362","476,489","483,422","486,112","486,306","486,481","484,158","488,568","490,202","496,984","497,239","495,593","499,795","500,882","494,299","497,993","505,650","511,470","514,455","511,843","511,744","516,590","515,929","509,505","511,446","516,991","516,885","515,390","514,887","512,255","511,986","513,698","518,341","518,173","522,110","526,901","529,717","529,239","529,344","524,961","530,342","534,235","537,382","542,133","541,561","536,024","536,543","542,817","544,167","547,371","552,330","556,600","555,172","548,517","554,899","558,904","558,790","559,652","555,276","551,019","547,639","544,685","545,147","545,511","547,686","552,924","544,575","544,266","544,883","544,577","548,511","543,984","539,101","537,360","525,058","532,575","539,203","541,030","544,861","542,676","546,198","552,835","555,127","555,893","557,737","560,331","562,584","565,102","567,085","564,792","568,008","566,828","573,172","575,709","573,127","578,010","582,135","579,225","579,759","580,968","582,691","580,194","578,078","576,437","573,079","569,921","570,574","567,969","572,581","573,245","577,216","578,106","573,763","575,664","572,998","570,793","570,219","570,365"
Service-producing industries  [T003]4,"1,112,463","1,109,636","1,112,941","1,115,090","1,116,183","1,118,195","1,119,530","1,122,393","1,125,334","1,123,714","1,115,133","1,108,934","1,110,546","1,110,452","1,108,026","1,110,280","1,110,623","1,112,945","1,115,284","1,114,681","1,118,796","1,119,396","1,122,416","1,127,300","1,130,724","1,132,641","1,136,221","1,135,141","1,135,363","1,136,888","1,138,959","1,143,643","1,145,738","1,149,734","1,155,762","1,160,459","1,165,609","1,164,275","1,165,165","1,164,301","1,167,381","1,171,040","1,174,858","1,177,524","1,179,328","1,181,890","1,183,887","1,187,100","1,186,377","1,188,421","1,190,744","1,191,086","1,193,899","1,196,263","1,200,134","1,200,527","1,200,605","1,198,175","1,201,718","1,201,743","1,207,676","1,208,091","1,211,260","1,214,801","1,219,426","1,217,401","1,222,072","1,225,859","1,228,675","1,233,445","1,238,317","1,236,370","1,236,568","1,239,380","1,242,897","1,243,415","1,249,850","1,253,895","1,257,913","1,260,703","1,261,599","1,262,814","1,264,063","1,265,904","1,263,186","1,264,612","1,266,644","1,268,768","1,267,358","1,271,804","1,274,286","1,273,290","1,273,471","1,275,405","1,278,979","1,281,217","1,288,360","1,288,474","1,287,572","1,290,142","1,290,371","1,292,716","1,297,641","1,299,267","1,302,033","1,302,556","1,303,935","1,306,569","1,313,104","1,317,355","1,323,836","1,328,755","1,333,000","1,334,947","1,334,796","1,335,426","1,336,386","1,339,270","1,343,118","1,345,867","1,346,393","1,347,532","1,348,652","1,350,290","1,358,278","1,358,426","1,362,061","1,366,256","1,369,083","1,374,061","1,372,654","1,375,542","1,378,684","1,376,542","1,384,131","1,388,112","1,390,430","1,394,827","1,398,965","1,400,447","1,403,024","1,402,846","1,404,957","1,409,656"
Business sector industries  [T004],"1,330,922","1,327,270","1,329,382","1,331,668","1,330,761","1,333,138","1,339,064","1,336,631","1,336,198","1,333,459","1,316,594","1,293,877","1,285,952","1,276,755","1,263,563","1,257,897","1,255,639","1,257,071","1,259,285","1,257,255","1,268,217","1,269,470","1,278,184","1,282,211","1,291,435","1,299,603","1,307,139","1,304,747","1,311,245","1,314,967","1,316,678","1,321,186","1,320,301","1,328,149","1,335,653","1,346,212","1,351,127","1,348,452","1,353,628","1,353,633","1,349,119","1,355,993","1,367,012","1,375,406","1,380,454","1,380,567","1,382,198","1,390,377","1,388,826","1,383,937","1,388,929","1,393,953","1,395,655","1,395,889","1,398,955","1,396,329","1,396,331","1,395,586","1,403,003","1,403,180","1,412,740","1,417,795","1,424,079","1,428,162","1,432,804","1,426,540","1,436,356","1,443,391","1,449,206","1,457,991","1,461,895","1,454,522","1,454,369","1,462,865","1,467,482","1,471,043","1,482,459","1,492,460","1,493,501","1,489,412","1,497,733","1,501,098","1,502,112","1,505,166","1,496,533","1,493,315","1,492,062","1,490,814","1,490,739","1,495,306","1,499,877","1,505,172","1,496,659","1,498,248","1,502,633","1,504,070","1,514,069","1,509,125","1,503,092","1,503,850","1,491,566","1,500,729","1,512,215","1,515,225","1,521,014","1,519,589","1,524,036","1,532,862","1,541,560","1,545,898","1,553,965","1,561,066","1,567,165","1,570,627","1,571,233","1,568,676","1,571,628","1,573,525","1,582,676","1,586,969","1,584,135","1,589,054","1,593,133","1,591,180","1,598,947","1,599,285","1,603,956","1,605,289","1,605,954","1,609,091","1,604,061","1,603,783","1,606,602","1,601,220","1,612,478","1,616,807","1,622,120","1,627,059","1,626,921","1,629,814","1,629,871","1,627,255","1,628,531","1,633,082"
Non-business sector industries  [T007],"287,972","288,817","289,662","290,830","291,749","292,554","293,642","294,810","295,559","296,497","297,036","297,855","298,565","299,520","299,965","300,599","301,263","301,677","302,011","303,378","304,154","304,555","305,052","305,589","306,194","306,350","306,559","307,008","307,589","308,079","308,626","309,009","309,719","310,219","310,392","311,250","311,628","311,343","311,278","311,554","312,486","312,988","313,525","313,702","313,458","313,261","313,538","313,492","313,454","313,993","313,292","314,151","315,176","315,797","316,089","316,485","316,271","316,238","317,001","316,661","316,852","316,974","316,795","315,870","316,044","315,932","316,208","316,863","317,026","317,746","318,163","318,051","318,828","319,375","319,637","319,780","319,807","318,202","319,755","320,052","319,043","320,857","321,021","320,739","321,724","322,389","322,585","323,237","322,339","322,748","322,829","321,492","322,328","322,478","322,418","323,013","323,958","324,785","325,350","325,714","326,833","327,076","326,885","327,255","327,856","327,831","328,041","328,096","328,369","329,171","329,604","330,035","330,465","331,300","332,259","333,280","334,235","334,288","334,968","335,846","336,770","337,484","338,311","339,256","340,324","341,204","341,916","342,655","342,996","343,565","344,006","344,401","345,409","346,070","346,993","347,426","348,156","348,626","349,085","349,472","349,658","350,014","350,419","350,903"
Industrial production  [T010]4,"359,342","358,661","358,425","360,461","358,298","359,729","364,501","360,585","357,479","356,075","350,149","337,908","334,795","327,896","319,130","312,587","310,526","309,785","309,412","308,626","314,758","314,671","318,464","317,142","321,765","327,434","331,162","329,771","336,921","338,959","338,801","338,304","335,711","339,721","340,957","347,105","345,897","343,835","348,206","349,530","343,432","346,093","352,841","357,423","359,819","357,110","356,363","360,029","359,179","351,433","352,099","355,309","355,149","353,142","351,836","348,323","347,181","347,099","350,656","349,138","352,083","355,465","356,860","355,028","354,132","353,019","354,955","358,080","361,639","366,232","365,966","362,457","363,228","369,074","371,056","374,827","378,038","381,645","379,214","373,456","379,215","381,115","380,693","381,806","378,906","375,786","374,206","371,290","370,637","372,042","374,545","379,758","372,362","372,372","373,209","373,535","378,200","374,780","371,048","369,504","358,491","367,753","373,982","376,721","379,444","376,494","379,620","385,983","387,170","386,516","387,735","388,400","392,519","392,666","393,304","390,553","392,192","389,362","395,269","398,678","396,702","399,977","404,667","402,142","402,044","404,972","408,554","407,332","406,541","405,936","403,053","399,912","399,455","397,251","400,867","402,684","404,884","402,931","397,882","399,016","397,304","395,780","395,230","395,457"
Non-durable manufacturing industries  [T011]4,"89,546","89,227","87,917","89,803","89,574","89,420","89,867","87,887","88,283","87,663","86,376","84,412","83,913","83,123","82,257","80,148","81,203","80,599","80,565","79,627","80,881","80,664","82,211","81,669","82,343","83,273","84,466","83,291","84,012","84,229","83,802","82,873","83,080","80,993","81,937","82,599","83,375","82,582","82,661","82,561","80,877","81,880","82,604","82,707","83,489","82,747","83,363","84,024","83,716","82,058","82,747","83,003","82,509","81,715","82,177","82,810","81,673","81,431","82,159","81,806","81,648","82,151","82,298","81,814","81,386","81,999","80,861","80,775","81,832","83,161","83,548","81,615","82,081","82,923","81,974","82,519","83,818","86,205","85,700","84,940","84,082","85,171","84,750","86,777","86,261","86,137","86,978","86,967","86,927","86,460","86,232","88,391","87,421","86,256","86,411","86,523","87,063","86,809","87,432","87,098","85,794","86,534","87,929","88,367","88,791","87,147","88,632","88,764","88,216","89,624","90,147","90,105","90,951","91,740","90,794","89,521","90,513","90,779","91,938","92,056","91,987","91,891","91,882","90,091","90,247","92,799","94,002","94,279","94,550","93,546","93,483","92,551","92,892","92,522","92,707","93,511","92,739","91,244","91,825","92,384","92,099","91,976","91,069","91,551"
Durable manufacturing industries  [T012]4,"106,392","107,240","105,243","106,112","107,275","106,270","106,598","105,186","104,676","102,559","100,653","94,582","89,036","87,981","86,331","85,729","82,774","81,925","83,255","84,770","85,507","84,960","86,059","85,801","86,822","88,118","89,603","90,476","90,654","92,663","93,012","93,747","92,409","94,138","92,340","94,439","95,301","94,624","95,787","95,918","96,561","96,237","98,189","97,764","99,072","100,129","100,464","102,930","102,403","100,735","100,929","101,974","101,979","102,828","102,361","100,769","99,912","98,487","99,309","97,590","99,459","99,531","100,196","99,443","99,933","99,191","99,948","101,032","102,325","103,296","102,257","100,181","100,594","102,551","102,072","102,250","104,019","103,279","105,296","103,735","105,824","105,016","103,859","105,509","103,820","101,868","102,891","102,499","102,272","100,821","101,454","102,837","101,519","102,231","102,290","102,606","104,497","102,895","101,333","100,865","99,532","101,284","100,270","100,519","101,559","100,200","101,408","103,410","103,891","103,212","103,943","104,743","105,506","106,091","105,968","105,547","105,348","105,609","108,091","107,331","106,936","108,318","109,552","109,719","107,719","108,454","108,109","107,177","107,673","109,222","108,254","108,323","109,515","108,837","109,785","107,152","110,535","109,089","108,074","109,041","108,562","106,943","107,855","106,970"
Information and communication technology sector  [T013]4,"69,405","69,219","69,375","69,360","69,816","69,750","69,397","69,757","70,521","69,681","69,176","69,001","68,932","68,999","68,381","67,928","67,764","67,367","67,550","67,928","67,515","68,373","68,681","68,708","69,244","69,455","69,752","69,619","69,748","70,368","71,236","71,169","71,246","71,890","72,376","73,077","72,893","72,726","73,132","72,986","73,293","73,519","74,185","73,673","73,383","73,869","73,614","73,946","73,493","73,737","73,661","74,069","74,010","73,895","74,048","73,801","73,507","73,059","73,529","72,619","73,311","72,784","72,303","72,262","72,162","71,866","72,207","72,848","73,348","74,033","74,694","74,422","74,742","74,773","75,037","75,259","75,119","76,095","76,948","77,718","77,837","77,814","77,916","78,250","77,552","78,076","78,426","78,523","78,669","79,195","79,269","78,745","79,144","79,233","79,316","79,560","79,687","80,324","80,501","80,485","81,287","81,309","82,095","82,870","82,995","83,375","83,242","83,682","83,853","84,056","84,481","85,241","85,402","86,432","86,458","85,516","86,107","86,164","87,079","87,419","88,109","88,626","88,751","89,185","89,318","89,048","89,882","90,573","90,484","90,974","91,743","91,375","92,204","92,247","92,770","92,929","93,532","93,925","94,331","94,848","95,537","95,648","96,263","96,389"
Energy sector  [T016]4,"147,896","146,365","148,332","147,919","145,087","146,882","150,834","149,932","148,575","150,327","148,772","144,840","146,212","145,481","139,475","137,084","138,051","140,268","139,106","135,833","138,822","139,511","141,612","141,087","140,474","142,929","143,248","142,520","147,903","148,090","147,540","146,323","143,364","144,833","147,905","151,974","149,525","148,960","151,877","152,790","147,316","148,413","150,583","155,808","157,045","155,355","153,633","153,670","154,106","151,828","149,545","151,610","152,094","150,010","149,918","147,842","148,154","150,074","151,059","151,764","152,394","154,256","154,863","154,211","151,613","152,839","154,108","157,119","158,270","158,841","159,687","159,743","161,367","164,094","166,181","167,782","169,408","171,327","168,876","165,001","167,332","169,178","170,773","169,113","168,823","168,471","164,565","162,648","162,237","164,375","166,143","169,089","162,044","161,728","162,013","162,392","164,976","163,221","160,524","159,604","148,296","157,217","165,331","168,063","169,609","168,357","169,165","173,709","174,265","173,618","174,140","172,975","177,532","175,077","175,563","173,987","176,765","172,602","174,183","180,577","179,010","179,298","183,253","179,226","180,292","181,691","183,275","183,128","181,154","182,287","180,704","176,306","173,833","174,098","175,447","180,171","179,101","181,789","176,752","175,675","175,098","175,553","176,377","177,856"
