Date,08-Jan,08-Feb,08-Mar,08-Apr,08-May,08-Jun,08-Jul,08-Aug,08-Sep,08-Oct,08-Nov,08-Dec,09-Jan,09-Feb,09-Mar,09-Apr,09-May,09-Jun,09-Jul,09-Aug,09-Sep,09-Oct,09-Nov,09-Dec,10-Jan,10-Feb,10-Mar,10-Apr,10-May,10-Jun,10-Jul,10-Aug,10-Sep,10-Oct,10-Nov,10-Dec,11-Jan,11-Feb,11-Mar,11-Apr,11-May,11-Jun,11-Jul,11-Aug,11-Sep,11-Oct,11-Nov,11-Dec,12-Jan,12-Feb,12-Mar,12-Apr,12-May,12-Jun,12-Jul,12-Aug,12-Sep,12-Oct,12-Nov,12-Dec,13-Jan,13-Feb,13-Mar,13-Apr,13-May,13-Jun,13-Jul,13-Aug,13-Sep,13-Oct,13-Nov,13-Dec,14-Jan,14-Feb,14-Mar,14-Apr,14-May,14-Jun,14-Jul,14-Aug,14-Sep,14-Oct,14-Nov,14-Dec,15-Jan,15-Feb,15-Mar,15-Apr,15-May,15-Jun,15-Jul,15-Aug,15-Sep,15-Oct,15-Nov,15-Dec,16-Jan,16-Feb,16-Mar,16-Apr,16-May,16-Jun,16-Jul,16-Aug,16-Sep,16-Oct,16-Nov,16-Dec,17-Jan,17-Feb,17-Mar,17-Apr,17-May,17-Jun,17-Jul,17-Aug,17-Sep,17-Oct,17-Nov,17-Dec,18-Jan,18-Feb,18-Mar,18-Apr,18-May,18-Jun,18-Jul,18-Aug,18-Sep,18-Oct,18-Nov,18-Dec,19-Jan,19-Feb,19-Mar,19-Apr,19-May,19-Jun,19-Jul,19-Aug,19-Sep,19-Oct,19-Nov,19-Dec
Canadian securities,"4,301","4,085","5,442","10,249","11,619","8,959","-5,608",-813,"3,891","2,928","-4,120","-1,755","10,261","6,354","7,589","9,123","19,182","10,821",778,"5,334","14,605","5,799","10,833","12,048","12,413","8,861",-390,"13,871","23,273","5,639","12,772","10,280","10,090","12,506","8,142","10,230","18,323","3,006","8,547","7,894","15,535","-1,725","11,964","8,678","14,315","7,927","16,972","10,143",492,"13,599","3,550","9,695","26,226","-5,805","7,700","6,472","17,956","17,467","4,894","1,132","14,538","-11,728","3,604","13,396","4,916","-9,581","9,293","2,487","17,113","14,174","9,348","-2,388",418,"7,029","3,420","12,176","25,527","4,429","11,606","11,507","13,166","10,152","6,840","-13,578","8,466","15,064","22,632","22,764","-3,956","10,434","-4,687","6,101","9,765","15,611","3,784",373,"13,630","15,802","14,809","21,303","15,841","10,075","7,151","13,274","8,837","15,300","5,691","8,446","3,301","39,139","12,910","6,058","29,390",-863,"27,055","10,403","13,632","22,129","20,147",508,"7,362","3,359","8,184","9,025","3,653","10,913","15,022",337,"5,630","2,302","10,145","-22,436","28,591","12,299","-2,663","-13,385","9,785","-3,811","-1,992","4,440","4,854","11,429","-1,760","-10,216"
Canadian debt securities,"7,723","2,883",-476,"7,693","9,154","8,363","-2,447","3,839","1,400","2,034",-947,"-2,788","10,620","3,968","7,029","5,881","18,185","8,494",262,"3,695","1,765","4,522","11,256","10,805","12,920","9,123",-677,"11,151","18,115","5,590","13,500","10,005","6,728","9,642","7,962","5,432","17,245","-1,978","5,038","8,673","14,583","-3,780","9,024","8,054","13,612","7,784","13,630","8,558","1,880","13,154","3,262","10,637","24,131","-4,895","3,018","7,122","14,467","16,897","4,921","7,817","11,906",-114,"4,436","11,213","3,666","-12,831","7,773","4,676","6,402","9,726","4,121","-4,697","-2,633","5,495",547,"8,536","22,353","1,875","7,030","9,186","8,208","5,988","7,420","-6,528","7,987","13,444","15,870","18,638","1,497","4,866","4,382","9,144","7,188","12,444","1,656","-2,488","13,605","12,461","8,557","19,660","15,268","-2,707","5,450","10,940","3,395","14,354",367,"-2,583","4,904","1,946","10,049","5,978","22,255","-2,247","26,103","10,303","9,869","18,672","20,952","-2,085","4,877",746,"7,587","6,533","6,565","9,363","12,002","-4,966","4,376",631,"7,228","-27,659","19,322","5,694","-1,769","-4,470","14,488","-2,361","-3,923","5,424","3,958","13,447",-582,"-9,558"
Canadian money market instruments,"-2,057","-1,163",-225,"1,552",465,662,845,117,"1,031",512,"4,440","4,945","4,091",-338,"5,815",-5,"-1,377","2,822","-3,890","-1,114","-2,231","-1,303","-2,067",279,"2,748",-869,"-1,857",-365,"2,532","-1,827",966,-705,221,"-1,044",927,"2,479","1,863",-843,-209,"3,035","3,300","-1,173","7,390","1,607","7,241",615,"5,674","3,522","-4,632","-1,675","-1,658","2,107","7,356",701,"-3,008","4,484","3,225","-3,328","3,820","5,424",-173,"-2,765","-3,069","4,981","3,496",384,945,"2,232",358,"-6,140","-7,131","4,322","-1,425","2,366","-6,047","4,078","2,871",229,"-1,933","3,664","-4,947","-3,779",119,"2,039","-5,693","-2,186","-5,335","7,811",-302,"12,036","-3,908",420,-769,"3,102","-1,542","2,915","1,723",688,"2,196","6,563","-2,946","-2,079","-3,539",657,"-5,404","8,879","-1,138",258,"-2,744","-4,455","2,940","-1,069","1,479",241,"-1,186","1,738","-5,271","-7,582","2,373","2,136","6,834","2,219","6,325","-1,958","-2,319","-1,475",-103,"3,899","6,420","-2,492",-421,-839,"5,067","-1,033","-5,421","-3,824","2,042","3,322","-4,639","4,209","-2,353","1,666","-1,096","6,587"
"Canadian money market instruments, governments 2","-1,741",-373,-135,"1,246",761,777,"1,260",147,524,98,"3,822","3,963","4,598",739,"7,052","1,040",-128,"3,247","-4,019","-1,590","-2,642","-1,952","-1,875",-539,"2,640",-729,"-1,565","-1,532","3,651","-2,448",916,-583,249,-706,986,"1,590","1,493",-440,-615,"3,709","2,355",-335,"6,164","1,624","6,534","1,146","4,414","1,834","-4,518","-2,614","-2,903","1,974","5,888","2,191","-4,317","2,410",609,"-3,118","3,282","4,152","-3,408","-1,403","-2,692","3,364","1,899",343,835,158,"2,111","-6,691","-4,038","2,620","-3,549",917,"-4,471","2,875","-1,085","1,825","-2,775","2,684",-718,"-3,865",44,"1,139","-2,912","-2,712","-4,095","2,742",13,"5,396","-5,675","2,414",149,-239,-813,996,"-2,489",334,"-3,183","5,412",-190,"-1,656","-3,583",30,-173,620,632,161,"-3,647","-4,356",539,343,"5,973","-2,271","-3,550",-612,"-3,563","-2,400",914,"1,835","-1,116","1,980","2,154","-3,147",-593,382,"-1,092","1,096","5,320","2,218","1,852",-25,"2,345","-1,655","-4,895","2,306","-1,005","-1,724",-693,"2,601","-3,065","3,960","1,664",624
"Canadian money market instruments, corporations 3",-316,-790,-90,306,-297,-115,-416,-30,507,415,619,982,-507,"-1,078","-1,237","-1,045","-1,248",-426,129,477,410,650,-192,818,108,-140,-293,"1,167","-1,118",621,49,-123,-28,-339,-59,889,369,-403,406,-674,944,-838,"1,226",-17,706,-531,"1,260","1,688",-114,939,"1,245",133,"1,468","-1,490","1,309","2,073","2,616",-211,538,"1,271","3,235","-1,362",-377,"1,617","1,596",40,110,"2,074","-1,753",551,"-3,093","1,702","2,124","1,450","-1,576","1,204","3,956","-1,596",842,980,"-4,229",86,75,900,"-2,781",526,"-1,240","5,068",-315,"6,641","1,767","-1,994",-918,"3,341",-729,"1,919","4,212",354,"5,379","1,151","-2,756",-423,44,627,"-5,231","8,259","-1,770",98,903,-99,"2,400","-1,412","-4,493","2,512","2,364","2,350","-1,708","-5,182","1,459",301,"7,949",240,"4,171","1,189","-1,726","-1,857",989,"2,803","1,100","-4,710","-2,274",-814,"2,722",622,-526,"-6,130","3,047","5,046","-3,946","1,608",712,"-2,294","-2,760","5,964"
Canadian bonds,"9,779","4,047",-252,"6,140","8,689","7,701","-3,291","3,722",369,"1,521","-5,388","-7,733","6,529","4,306","1,213","5,887","19,562","5,672","4,152","4,808","3,996","5,825","13,323","10,526","10,172","9,992","1,181","11,516","15,583","7,417","12,534","10,711","6,506","10,686","7,035","2,953","15,382","-1,135","5,246","5,638","11,283","-2,607","1,634","6,447","6,372","7,170","7,956","5,036","6,512","14,830","4,920","8,531","16,775","-5,596","6,026","2,638","11,242","20,226","1,101","2,393","12,079","2,651","7,505","6,232",170,"-13,215","6,828","2,443","6,044","15,866","11,253","-9,019","-1,208","3,128","6,593","4,457","19,482","1,646","8,962","5,522","13,155","9,767","7,302","-8,567","13,681","15,630","21,204","10,827","1,799","-7,170","8,290","8,724","7,956","9,342","3,198","-5,403","11,882","11,773","6,361","13,097","18,215",-629,"8,989","10,283","8,799","5,475","1,504","-2,841","7,648","6,401","7,110","7,046","20,776","-2,488","27,289","8,565","15,140","26,254","18,579","-4,221","-1,956","-1,474","1,262","8,491","8,884","10,838","12,105","-8,865","-2,044","3,123","7,650","-26,820","14,255","6,727","3,653",-646,"12,445","-5,683",716,"1,215","6,311","11,781",514,"-16,145"
"Canadian bonds, governments","1,588","1,395","2,098",936,"3,195",495,"-4,215","1,844",-996,"1,694","-3,456","-3,168","4,671",393,-25,"4,935","5,661","2,287","1,759","3,984",375,"5,233","4,973","7,979","7,668","5,974","-1,385","9,923","14,122","6,940","5,525","2,381","5,082","2,321","3,019",-182,"7,230","-5,544","4,307","1,758","8,301","-3,964",-879,"1,769","4,154","4,083","2,933","4,412","1,066","10,213","-3,232","5,734","12,022",455,"4,934",-452,"8,929","8,167",-971,"1,634","2,185","4,485","4,331","1,262","-3,507","-8,464",837,"-1,208","-2,220",-170,"3,058","-8,055",46,"-1,573","-1,575","-3,332","12,690","-11,168",811,"3,083",711,"5,588","1,274","-3,224","9,965","5,619","4,250","6,137","-3,361","-6,667","2,439","1,389","-4,777","9,442","1,664","-3,471","5,774","9,096","-2,972","2,422","9,802","-3,537","5,947","5,850",-915,"2,178","-2,700","1,091","-2,296","3,355",-557,"7,473","14,452","-8,432","10,850","6,052","9,890","7,673","10,291","-4,845","-3,020","-9,069","-13,656","-1,855",977,"-1,738","6,736","-2,757","-7,371","2,684","5,153","-9,368","14,789","-1,672","-5,647","-2,762","8,183","-5,536","-10,812","2,124","-2,804","5,316","6,469","-11,659"
"Canadian bonds, corporations","8,192","2,652","-2,349","5,204","5,495","7,206",924,"1,877","1,365",-173,"-1,931","-4,565","1,858","3,913","1,239",951,"13,901","3,385","2,392",824,"3,621",593,"8,349","2,547","2,505","4,018","2,565","1,593","1,461",477,"7,010","8,329","1,425","8,366","4,016","3,135","8,152","4,409",939,"3,881","2,982","1,357","2,513","4,678","2,217","3,087","5,023",624,"5,446","4,616","8,152","2,796","4,754","-6,051","1,092","3,090","2,314","12,059","2,072",759,"9,894","-1,834","3,173","4,970","3,677","-4,751","5,991","3,651","8,264","16,035","8,195",-964,"-1,254","4,701","8,169","7,789","6,792","12,814","8,152","2,439","12,444","4,180","6,028","-5,343","3,715","10,011","16,955","4,690","5,160",-503,"5,851","7,335","12,733",-100,"1,534","-1,933","6,108","2,677","9,333","10,676","8,413","2,908","3,042","4,433","9,714","3,297","4,204","-3,932","9,944","3,046","7,667",-427,"6,325","5,944","16,439","2,513","5,249","18,581","8,288",624,"1,064","7,596","14,917","10,346","7,907","12,575","5,369","-6,108","5,327",439,"2,497","-17,451",-534,"8,399","9,300","2,116","4,262",-147,"11,529",-909,"9,115","6,464","-5,956","-4,486"
Canadian equity and investment fund shares,"-3,421","1,201","5,918","2,557","2,464",596,"-3,161","-4,652","2,490",894,"-3,173","1,032",-359,"2,386",560,"3,242",997,"2,328",516,"1,639","12,840","1,277",-423,"1,244",-507,-261,287,"2,720","5,158",48,-728,274,"3,362","2,864",180,"4,798","1,079","4,984","3,509",-779,952,"2,055","2,940",624,703,142,"3,342","1,586","-1,388",445,288,-942,"2,095",-910,"4,682",-649,"3,489",570,-28,"-6,684","2,632","-11,614",-831,"2,183","1,250","3,250","1,521","-2,189","10,711","4,448","5,227","2,309","3,052","1,534","2,873","3,640","3,174","2,554","4,576","2,320","4,958","4,164",-580,"-7,050",479,"1,621","6,762","4,126","-5,452","5,568","-9,069","-3,043","2,577","3,166","2,127","2,861",25,"3,341","6,252","1,643",572,"12,782","1,701","2,335","5,443",946,"5,325","11,029","-1,603","37,193","2,861",80,"7,134","1,384",952,100,"3,764","3,457",-805,"2,593","2,484","2,613",597,"2,492","-2,912","1,550","3,020","5,303","1,254","1,672","2,917","5,223","9,269","6,605",-895,"-8,915","-4,703","-1,450","1,931",-985,896,"-2,018","-1,178",-659
Foreign securities,348,"6,338","-3,230","6,045","6,346","-9,223","1,223",213,-654,"-10,759","-2,542","-5,754","4,265","3,005","6,169","1,481",-774,"1,206",-473,-135,"-4,671","-4,035","2,030",664,"-5,455","4,328","6,306",167,"-2,935","4,030","-1,471","3,404","5,200",-66,"2,881","-1,937","1,931","2,861","-1,634","-2,587","3,703",891,"1,979","2,496",929,"2,037","2,920","2,804",953,"-2,165","7,709","-2,655","1,347","4,123","4,561","-1,683","6,028","3,393","8,104","5,455","-1,108","4,338","3,501","1,797","-1,720","3,708",973,"5,728",-24,956,"7,228","3,952","2,424","6,021","8,099","1,913","1,987","1,876","9,673",43,"8,288",311,"1,823","13,974","-10,925","9,278","-2,467","10,555","6,034","8,584",-373,"8,714","-6,229","3,193","16,317","17,427","-15,459","4,214","2,471","4,638","5,022","3,364","4,589","1,600","1,773","2,061","-7,977","6,590","9,400","7,111","15,366","-9,908","4,231","13,451","-2,466","12,066","1,749","16,280","-4,615","21,991","15,033","4,538","-3,257","-1,760","4,596","10,280","11,477","-1,686","8,994","14,372","-4,630",-426,"-9,018","4,901",973,-527,"3,260","6,246","12,718","-4,448","-2,578","1,891","5,741","13,802"
