Date,08-Jan,08-Feb,08-Mar,08-Apr,08-May,08-Jun,08-Jul,08-Aug,08-Sep,08-Oct,08-Nov,08-Dec,09-Jan,09-Feb,09-Mar,09-Apr,09-May,09-Jun,09-Jul,09-Aug,09-Sep,09-Oct,09-Nov,09-Dec,10-Jan,10-Feb,10-Mar,10-Apr,10-May,10-Jun,10-Jul,10-Aug,10-Sep,10-Oct,10-Nov,10-Dec,11-Jan,11-Feb,11-Mar,11-Apr,11-May,11-Jun,11-Jul,11-Aug,11-Sep,11-Oct,11-Nov,11-Dec,12-Jan,12-Feb,12-Mar,12-Apr,12-May,12-Jun,12-Jul,12-Aug,12-Sep,12-Oct,12-Nov,12-Dec,13-Jan,13-Feb,13-Mar,13-Apr,13-May,13-Jun,13-Jul,13-Aug,13-Sep,13-Oct,13-Nov,13-Dec,14-Jan,14-Feb,14-Mar,14-Apr,14-May,14-Jun,14-Jul,14-Aug,14-Sep,14-Oct,14-Nov,14-Dec,15-Jan,15-Feb,15-Mar,15-Apr,15-May,15-Jun,15-Jul,15-Aug,15-Sep,15-Oct,15-Nov,15-Dec,16-Jan,16-Feb,16-Mar,16-Apr,16-May,16-Jun,16-Jul,16-Aug,16-Sep,16-Oct,16-Nov,16-Dec,17-Jan,17-Feb,17-Mar,17-Apr,17-May,17-Jun,17-Jul,17-Aug,17-Sep,17-Oct,17-Nov,17-Dec,18-Jan,18-Feb,18-Mar,18-Apr,18-May,18-Jun,18-Jul,18-Aug,18-Sep,18-Oct,18-Nov,18-Dec,19-Jan,19-Feb,19-Mar,19-Apr,19-May,19-Jun,19-Jul,19-Aug,19-Sep,19-Oct,19-Nov,19-Dec
Compensation of employees,"66,007,003","66,896,644","67,001,863","67,462,641","68,858,260","70,863,181","69,340,046","68,418,680","68,702,028","68,670,062","68,263,498","69,242,501","66,623,064","67,053,719","66,949,967","66,741,992","68,115,320","69,351,978","67,992,387","66,910,127","67,709,052","67,596,740","67,682,624","69,345,972","66,958,813","67,867,258","68,016,787","68,403,473","69,660,290","71,869,679","70,552,869","69,405,951","70,623,912","70,712,389","70,730,986","72,880,510","70,617,961","71,950,559","72,346,733","72,339,806","73,433,112","75,808,528","74,200,776","73,226,729","74,274,935","74,307,041","74,140,457","76,399,253","73,394,054","74,706,500","75,334,959","75,458,743","76,961,861","79,519,995","77,866,724","77,016,504","77,900,473","77,727,474","77,732,860","79,791,730","76,895,192","78,179,640","78,958,973","78,647,297","80,560,414","81,989,377","80,724,652","79,791,328","80,652,610","80,841,296","80,904,941","83,033,256","79,919,544","81,078,159","81,323,300","81,808,700","83,621,578","85,557,003","84,559,800","83,073,660","84,019,003","84,260,979","83,479,380","85,761,601","82,883,847","84,459,211","84,559,718","85,087,665","86,000,002","88,059,917","86,759,429","84,258,386","85,790,250","85,956,379","85,212,312","87,819,173","83,154,441","84,306,302","84,453,999","84,397,653","85,540,218","87,890,919","85,612,723","84,406,533","85,873,889","85,418,911","85,901,849","89,525,891","84,995,883","86,325,841","87,002,792","86,820,049","88,347,689","91,512,723","88,988,756","88,839,631","90,868,382","90,362,780","91,518,034","94,373,026","89,879,237","91,755,471","92,316,221","91,578,295","93,317,646","95,615,495","92,886,416","92,791,672","93,784,703","94,095,829","95,045,511","97,453,806","93,309,340","94,535,394","95,389,288","95,433,050","97,724,801","99,723,407","97,810,601","97,106,941","98,488,807","99,004,581","99,443,381","102,397,998"
Wages and salaries,"57,747,427","58,540,847","58,634,843","59,008,337","60,198,941","61,954,296","60,563,822","59,752,263","59,968,340","59,935,545","59,550,114","60,313,668","57,992,764","58,341,834","58,204,167","57,983,542","59,149,110","60,194,302","58,981,658","58,047,882","58,739,437","58,640,124","58,727,838","60,169,547","58,106,370","58,908,130","59,049,504","59,388,464","60,482,304","62,419,645","61,273,699","60,292,385","61,372,171","61,466,666","61,490,691","63,365,998","61,322,292","62,490,359","62,834,396","62,824,067","63,762,866","65,822,160","64,415,232","63,572,605","64,477,466","64,499,691","64,347,974","66,301,461","63,657,818","64,787,438","65,325,028","65,414,572","66,682,191","68,881,557","67,432,702","66,675,725","67,413,491","67,228,920","67,201,035","68,946,809","66,401,108","67,488,195","68,216,973","67,835,218","69,453,024","70,647,539","69,542,480","68,734,471","69,474,160","69,657,315","69,721,650","71,564,383","68,896,912","69,917,232","70,142,025","70,562,128","72,110,800","73,782,027","72,917,017","71,650,664","72,463,922","72,672,462","71,991,402","73,946,307","71,476,812","72,822,932","72,903,855","73,320,772","74,110,037","75,859,657","74,702,437","72,529,439","73,832,490","73,977,228","73,327,333","75,546,957","71,489,581","72,437,319","72,525,749","72,439,596","73,381,126","75,367,683","73,345,227","72,293,273","73,530,152","73,143,105","73,548,280","76,636,569","73,095,526","74,309,044","74,923,046","74,793,511","76,128,297","78,879,329","76,704,553","76,595,105","78,367,882","77,943,641","78,941,597","81,410,369","77,515,063","79,130,161","79,603,203","78,951,731","80,437,141","82,414,753","80,048,931","79,969,513","80,819,194","81,107,313","81,947,567","84,052,861","80,475,549","81,533,888","82,271,744","82,302,535","84,272,976","85,993,382","84,334,833","83,733,820","84,934,941","85,371,441","85,753,493","88,302,197"
All goods-producing industries,"14,811,585","15,243,688","15,214,028","15,272,976","15,702,961","16,440,119","16,259,091","16,048,940","15,969,224","15,812,556","15,407,642","15,469,705","14,156,223","14,422,623","14,286,744","14,099,631","14,416,155","15,060,681","15,026,869","14,658,246","14,834,402","14,684,369","14,429,360","14,712,964","13,803,113","14,367,885","14,499,667","14,505,615","15,004,576","15,759,364","15,809,248","15,632,440","15,907,108","15,842,785","15,554,205","15,856,924","14,899,445","15,494,633","15,750,452","15,646,955","15,986,262","16,809,439","16,720,944","16,568,074","16,864,487","16,918,169","16,616,659","16,925,050","15,772,525","16,275,657","16,719,353","16,701,591","17,190,206","18,012,389","17,904,439","17,775,157","17,902,198","17,835,603","17,568,867","17,678,092","16,436,890","16,952,894","17,063,244","17,236,503","17,793,435","18,176,792","18,376,257","18,303,736","18,378,904","18,351,118","18,193,834","18,393,350","17,112,224","17,472,569","17,687,403","17,869,067","18,584,568","19,144,832","19,249,915","19,118,638","19,341,199","19,311,289","18,622,437","18,726,391","17,259,347","18,080,004","18,034,897","18,258,192","18,592,295","19,215,230","19,133,210","18,548,984","18,839,014","18,906,362","18,153,388","18,416,126","16,512,564","16,991,137","17,016,303","17,113,455","17,288,448","18,131,216","18,108,516","17,801,739","17,981,605","17,736,510","17,685,845","18,295,280","16,726,716","17,376,053","17,593,931","17,634,283","18,053,068","18,927,798","19,152,806","19,072,273","19,341,255","19,094,827","19,136,590","19,700,701","17,797,955","18,518,185","18,652,720","18,552,998","19,198,915","19,971,152","19,814,653","19,673,449","19,593,338","19,549,154","19,637,793","20,067,779","18,378,396","18,970,167","19,269,172","19,342,309","20,105,724","20,761,460","20,761,422","20,721,913","20,615,122","20,763,103","20,363,822","20,946,998"
"Agriculture, forestry, fishing and hunting","522,402","499,553","522,986","501,998","649,008","708,709","747,843","766,154","724,702","701,159","624,004","637,880","514,211","466,370","481,409","487,820","604,589","670,562","722,736","718,911","709,205","689,911","610,332","635,044","494,376","473,643","496,642","528,127","614,139","682,358","736,266","728,530","722,074","704,324","617,914","662,649","522,469","506,021","548,454","568,817","648,132","737,840","771,199","768,822","790,114","739,098","662,956","704,811","530,545","526,476","585,374","574,141","701,220","794,459","794,298","815,631","778,622","742,190","689,587","730,698","565,575","567,619","582,257","585,425","739,217","786,363","812,328","862,991","804,397","795,113","717,419","794,534","603,583","558,916","581,662","600,267","763,127","808,909","855,893","847,955","806,539","825,034","707,277","786,652","614,577","585,167","608,023","641,518","787,330","852,770","900,366","880,069","861,403","880,422","770,223","914,001","649,237","639,370","664,564","696,846","821,269","916,760","920,811","900,683","911,853","849,039","775,350","908,118","655,355","654,317","696,700","698,602","828,808","947,432","950,081","998,341","950,982","889,593","817,450","965,631","686,824","685,620","731,703","748,445","916,591","1,044,037","1,046,740","1,061,794","1,007,869","970,708","900,297","1,018,495","745,158","744,491","799,780","812,932","996,687","1,081,573","1,084,353","1,132,193","1,060,673","1,048,240","942,241","1,039,259"
Mining and oil and gas extraction,"1,823,736","2,029,628","2,064,806","1,975,603","1,912,997","2,009,260","1,916,416","1,994,708","1,887,602","1,882,152","1,929,511","1,960,156","1,909,796","2,067,677","2,042,375","1,897,278","1,816,888","1,888,936","1,748,046","1,732,011","1,728,988","1,680,404","1,710,601","1,823,277","1,831,590","1,982,859","2,017,368","2,025,709","1,927,762","2,028,834","2,002,098","2,029,873","2,031,613","2,034,251","2,063,182","2,155,233","2,240,315","2,396,847","2,440,589","2,411,957","2,290,707","2,380,095","2,274,599","2,304,306","2,309,391","2,355,957","2,371,395","2,466,399","2,500,925","2,606,184","2,733,805","2,597,474","2,514,241","2,580,597","2,549,596","2,575,169","2,547,613","2,532,092","2,528,684","2,543,812","2,659,533","2,813,508","2,813,853","2,761,989","2,670,554","2,701,431","2,672,799","2,663,010","2,660,705","2,636,899","2,674,438","2,743,798","2,772,776","2,911,099","2,962,333","2,973,107","2,847,563","2,818,020","2,789,394","2,803,946","2,756,100","2,739,996","2,740,820","2,711,261","2,786,683","2,902,227","2,814,866","2,680,662","2,548,357","2,483,774","2,430,873","2,357,021","2,375,908","2,358,115","2,285,839","2,343,231","2,248,021","2,357,929","2,331,073","2,236,540","2,045,128","2,033,123","2,077,776","2,008,146","2,057,062","2,078,091","2,104,822","2,176,419","2,135,087","2,326,085","2,373,576","2,313,950","2,228,205","2,273,201","2,248,401","2,352,122","2,352,760","2,332,682","2,390,584","2,481,572","2,378,290","2,565,212","2,472,708","2,473,221","2,385,226","2,394,976","2,365,495","2,337,666","2,313,201","2,319,347","2,374,483","2,404,939","2,382,618","2,496,612","2,515,842","2,490,357","2,482,787","2,508,216","2,387,244","2,357,701","2,321,949","2,390,209","2,422,474","2,505,924"
Manufacturing,"7,681,774","7,805,701","7,678,266","7,619,824","7,675,002","7,913,239","7,845,998","7,383,377","7,381,920","7,334,675","7,150,244","7,331,921","6,873,244","6,908,229","6,804,263","6,691,634","6,688,299","6,878,632","6,945,740","6,529,720","6,683,732","6,561,075","6,532,697","6,752,275","6,580,102","6,781,774","6,752,378","6,575,676","6,771,417","7,061,281","7,099,260","6,774,275","6,986,090","6,873,644","6,815,739","7,092,218","6,923,930","7,135,621","7,125,495","6,980,015","7,065,478","7,280,461","7,267,700","6,960,865","7,087,570","7,165,982","7,090,229","7,342,482","7,130,259","7,236,139","7,206,111","7,230,727","7,329,339","7,572,378","7,586,921","7,277,836","7,335,429","7,283,366","7,134,559","7,462,972","7,132,923","7,206,395","7,160,220","7,245,750","7,331,994","7,557,574","7,561,904","7,265,703","7,263,636","7,182,526","7,164,282","7,486,500","7,119,531","7,307,372","7,344,406","7,401,067","7,542,477","7,834,587","7,878,550","7,575,368","7,649,421","7,559,676","7,429,691","7,687,011","7,331,584","7,685,582","7,648,354","7,862,840","7,686,841","7,993,412","8,078,217","7,517,919","7,670,167","7,769,023","7,536,528","7,923,346","7,340,885","7,525,408","7,542,022","7,515,294","7,540,019","7,868,097","7,795,870","7,593,111","7,623,291","7,514,386","7,542,850","8,014,201","7,609,501","7,783,688","7,837,489","7,834,402","7,819,786","8,086,616","8,227,364","8,000,434","8,042,964","7,917,757","8,038,028","8,446,126","7,969,144","8,173,263","8,218,982","8,104,703","8,220,218","8,437,237","8,340,263","8,184,379","8,072,446","8,068,483","8,273,632","8,740,176","8,315,649","8,544,488","8,581,606","8,613,669","8,661,280","8,844,553","8,884,399","8,638,259","8,660,009","8,741,059","8,626,307","9,065,857"
Construction,"3,900,655","3,979,749","4,027,405","4,294,894","4,579,956","4,892,021","4,870,884","5,027,909","5,100,935","4,996,997","4,817,752","4,650,987","3,937,897","4,029,282","4,009,246","4,102,824","4,397,032","4,680,478","4,693,669","4,762,805","4,789,637","4,813,892","4,661,457","4,564,401","3,950,282","4,139,452","4,248,919","4,427,065","4,741,516","5,005,462","5,024,595","5,157,280","5,206,911","5,257,627","5,119,206","4,982,341","4,246,404","4,436,087","4,620,489","4,712,911","4,976,757","5,387,353","5,408,561","5,541,711","5,673,053","5,612,264","5,476,496","5,360,967","4,584,581","4,819,551","5,135,758","5,274,527","5,608,949","5,984,725","5,951,431","6,112,027","6,229,114","6,260,881","6,220,122","5,932,234","5,053,425","5,283,784","5,453,685","5,615,442","6,024,017","6,084,279","6,294,718","6,512,713","6,662,181","6,722,655","6,623,418","6,340,376","5,593,623","5,601,911","5,713,357","5,825,328","6,361,167","6,597,078","6,676,255","6,844,814","7,097,037","7,136,857","6,713,056","6,490,822","5,478,120","5,786,936","5,870,505","6,008,166","6,509,100","6,813,383","6,689,814","6,776,070","6,920,296","6,870,709","6,556,557","6,240,160","5,258,346","5,439,866","5,413,798","5,628,065","5,841,739","6,288,612","6,311,620","6,270,251","6,408,593","6,278,834","6,232,071","6,181,095","5,290,805","5,527,582","5,606,596","5,748,307","6,140,547","6,555,374","6,657,989","6,654,767","6,929,085","6,878,155","6,794,625","6,687,457","5,658,213","5,926,665","6,080,172","6,079,594","6,543,283","6,967,100","6,948,929","7,002,228","7,092,873","7,090,535","6,986,475","6,816,476","5,820,250","6,020,178","6,209,004","6,273,294","6,784,215","7,134,166","7,241,012","7,459,721","7,443,254","7,423,707","7,197,323","7,158,250"
Utilities,"883,018","929,057","920,565","880,657","885,998","916,890","877,950","876,792","874,065","897,573","886,131","888,761","921,075","951,065","949,451","920,075","909,347","942,073","916,678","914,799","922,840","939,087","914,273","937,967","946,763","990,157","984,360","949,038","949,742","981,429","947,029","942,482","960,420","972,939","938,164","964,483","966,327","1,020,057","1,015,425","973,255","1,005,188","1,023,690","998,885","992,370","1,004,359","1,044,868","1,015,583","1,050,391","1,026,215","1,087,307","1,058,305","1,024,722","1,036,457","1,080,230","1,022,193","994,494","1,011,420","1,017,074","995,915","1,008,376","1,025,434","1,081,588","1,053,229","1,027,897","1,027,653","1,047,145","1,034,508","999,319","987,985","1,013,925","1,014,277","1,028,142","1,022,711","1,093,271","1,085,645","1,069,298","1,070,234","1,086,238","1,049,823","1,046,555","1,032,102","1,049,726","1,031,593","1,050,645","1,048,383","1,120,092","1,093,149","1,065,006","1,060,667","1,071,891","1,033,940","1,017,905","1,011,240","1,028,093","1,004,241","995,388","1,016,075","1,028,564","1,064,846","1,036,710","1,040,293","1,024,624","1,002,439","1,029,548","980,806","1,016,160","1,030,752","1,015,447","1,035,968","1,084,381","1,079,570","1,039,022","1,035,722","1,065,175","1,068,971","1,066,609","1,065,464","1,076,640","1,095,903","1,119,915","1,105,484","1,167,425","1,149,155","1,147,035","1,133,597","1,127,802","1,113,226","1,087,382","1,106,949","1,100,081","1,102,906","1,087,693","1,114,721","1,164,398","1,162,940","1,152,057","1,180,755","1,192,952","1,164,414","1,134,039","1,129,237","1,159,888","1,175,477","1,177,708"
All services-producing industries,"42,935,842","43,297,159","43,420,815","43,735,361","44,495,980","45,514,177","44,304,731","43,703,323","43,999,116","44,122,989","44,142,472","44,843,963","43,836,541","43,919,211","43,917,423","43,883,911","44,732,955","45,133,621","43,954,789","43,389,636","43,905,035","43,955,755","44,298,478","45,456,583","44,303,257","44,540,245","44,549,837","44,882,849","45,477,728","46,660,281","45,464,451","44,659,945","45,465,063","45,623,881","45,936,486","47,509,074","46,422,847","46,995,726","47,083,944","47,177,112","47,776,604","49,012,721","47,694,288","47,004,531","47,612,979","47,581,522","47,731,315","49,376,411","47,885,293","48,511,781","48,605,675","48,712,981","49,491,985","50,869,168","49,528,263","48,900,568","49,511,293","49,393,317","49,632,168","51,268,717","49,964,218","50,535,301","51,153,729","50,598,715","51,659,589","52,470,747","51,166,223","50,430,735","51,095,256","51,306,197","51,527,816","53,171,033","51,784,688","52,444,663","52,454,622","52,693,061","53,526,232","54,637,195","53,667,102","52,532,026","53,122,723","53,361,173","53,368,965","55,219,916","54,217,465","54,742,928","54,868,958","55,062,580","55,517,742","56,644,427","55,569,227","53,980,455","54,993,476","55,070,866","55,173,945","57,130,831","54,977,017","55,446,182","55,509,446","55,326,141","56,092,678","57,236,467","55,236,711","54,491,534","55,548,547","55,406,595","55,862,435","58,341,289","56,368,810","56,932,991","57,329,115","57,159,228","58,075,229","59,951,531","57,551,747","57,522,832","59,026,627","58,848,814","59,805,007","61,709,668","59,717,108","60,611,976","60,950,483","60,398,733","61,238,226","62,443,601","60,234,278","60,296,064","61,225,856","61,558,159","62,309,774","63,985,082","62,097,153","62,563,721","63,002,572","62,960,226","64,167,252","65,231,922","63,573,411","63,011,907","64,319,819","64,608,338","65,389,671","67,355,199"
Trade,"7,569,473","7,528,244","7,607,712","7,742,273","7,949,375","8,101,269","8,097,511","7,884,929","7,843,688","7,818,400","7,807,397","7,995,608","7,669,494","7,614,598","7,491,829","7,590,426","7,760,270","7,836,732","7,787,378","7,511,336","7,486,599","7,459,688","7,588,223","7,848,824","7,540,857","7,583,481","7,510,624","7,785,219","7,875,308","7,999,564","7,968,184","7,698,533","7,743,433","7,743,569","7,790,148","8,184,369","7,833,527","7,935,975","7,962,380","8,077,361","8,255,964","8,404,025","8,262,748","8,115,699","8,092,228","8,082,954","8,169,930","8,602,945","8,241,345","8,309,929","8,360,002","8,461,724","8,678,782","8,990,346","8,666,823","8,608,191","8,510,076","8,448,037","8,621,478","8,896,912","8,523,777","8,632,244","8,693,201","8,726,940","8,983,186","9,167,798","8,969,884","8,843,491","8,754,683","8,774,488","8,888,580","9,317,663","8,899,178","8,860,449","8,854,895","8,987,601","9,239,837","9,509,817","9,361,396","9,274,338","9,147,810","9,200,012","9,268,832","9,756,783","9,402,706","9,279,853","9,334,053","9,394,207","9,472,878","9,622,190","9,637,854","9,388,900","9,268,570","9,247,131","9,259,647","9,735,151","9,166,082","9,234,793","9,106,356","9,231,741","9,478,306","9,562,229","9,375,526","9,224,271","9,136,009","9,262,603","9,236,258","9,807,326","9,471,403","9,379,013","9,568,702","9,436,177","9,640,056","9,769,577","9,660,767","9,639,962","9,594,293","9,691,765","9,858,231","10,340,345","9,860,762","9,984,269","10,224,412","10,130,599","10,151,064","10,229,032","10,084,949","10,191,329","9,903,632","9,954,452","10,262,588","10,731,994","10,202,324","10,136,025","10,223,826","10,242,303","10,495,116","10,705,549","10,380,816","10,256,977","10,175,127","10,365,770","10,615,741","11,063,727"
